peg_x,peg_y,peg_z,peg_qw,peg_qx,peg_qy,peg_qz,q_init_ur_shoulder_pan_joint,q_init_ur_shoulder_lift_joint,q_init_ur_elbow_joint,q_init_ur_wrist_1_joint,q_init_ur_wrist_2_joint,q_init_ur_wrist_3_joint,q_reach_ur_shoulder_pan_joint,q_reach_ur_shoulder_lift_joint,q_reach_ur_elbow_joint,q_reach_ur_wrist_1_joint,q_reach_ur_wrist_2_joint,q_reach_ur_wrist_3_joint,peg_site_x,peg_site_y,peg_site_z,ee_init_x,ee_init_y,ee_init_z
0.41178256,-0.7093142,0.9447128,0.4667436,-0.6794495,-0.5463962,-0.1481551,-1.2172166,-0.8052626,1.9840996,1.4156727,-1.5558217,0.99457335,-1.2270346,-0.7279047,2.1976686,1.1261809,-1.5448042,0.998234,0.41178256,-0.7093142,0.9447128,0.44265518,-0.78893024,0.9967529
-0.113115035,-0.12744622,1.4568735,-0.50561845,-0.8224985,-0.25745115,-0.039561283,1.9039313,-2.9686463,1.3027179,4.289552,-1.5357069,-2.8928413,1.9158826,-3.0269046,1.1384408,4.5204935,-1.5429709,-2.8898845,-0.113115035,-0.12744622,1.4568735,-0.14565726,-0.046309162,1.5054306
-0.53970885,-0.08371289,0.11782058,0.043461,0.24548578,-0.39660504,-0.8834887,-0.1355424,-2.9906561,-0.85664654,4.6595726,2.2106268,-5.1986165,-0.21484192,-3.108274,-0.42640126,4.3018017,2.168735,-5.283513,-0.53970885,-0.08371289,0.11782058,-0.49288467,-0.1516583,0.061332352
-0.13938132,0.22332992,1.4179118,0.21043444,-0.35241035,-0.90778416,0.08632595,6.094552,4.5029173,-1.4987292,-4.1283107,-4.8288226,-2.139539,6.090919,4.3537135,-1.5411494,-3.9387128,-4.8143106,-2.1303365,-0.13938132,0.22332992,1.4179118,-0.09509108,0.22417112,1.5075648
-0.48012465,0.06476808,1.3676759,-0.05734915,-0.9940634,0.088773645,0.025851933,-6.0010753,4.5851684,-1.9969946,-0.92651725,4.833713,-2.0474591,-5.992802,4.401154,-2.0886314,-0.65067077,4.825151,-2.055265,-0.48012465,0.06476808,1.3676759,-0.47396675,0.075710826,1.4668844
-0.095329545,-0.15837851,1.1902763,-0.6083253,0.7138582,-0.2389784,-0.251468,1.5512967,4.5126467,1.907321,3.1393957,-4.6293497,-0.70301527,1.5750107,4.7652693,1.7073774,3.0863025,-4.649649,-0.7089556,-0.095329545,-0.15837851,1.1902763,-0.08850237,-0.25724918,1.2036171
-0.5110667,0.11879843,0.92142296,0.04864848,0.9030874,-0.41155055,-0.11266151,0.014786795,-2.983911,-0.8800551,-3.757883,-4.6976576,0.71676576,0.021144228,-3.24134,-0.59894514,-3.81077,-4.706043,0.6988732,-0.5110667,0.11879843,0.92142296,-0.48671377,0.11831201,1.018411
0.2971412,-0.79421335,0.8789056,-0.82198983,0.46395007,0.29764518,-0.14314477,-1.8775,-1.5770873,1.8072033,3.6346989,-0.64608616,-0.2153934,-2.0768445,-1.7891172,1.8605044,4.0004077,-0.51124555,-0.4659289,0.2971412,-0.79421335,0.8789056,0.35935587,-0.8619645,0.8396741
-0.6408228,0.4550006,0.41076183,-0.5031498,-0.56181455,0.3415152,-0.56086725,-3.396494,5.619728,1.771276,-0.8494536,2.5800865,-1.1602007,-3.2111132,5.597431,1.8332162,-0.83444864,2.7528276,-1.1019571,-0.6408228,0.4550006,0.41076183,-0.66947687,0.5498449,0.39721546
-0.8914719,-0.04373616,0.42930213,0.29708138,0.15325154,-0.010565211,0.94241446,3.1084774,5.398,1.2414407,4.0323906,4.593738,-4.1821,3.0907557,5.2938957,1.1386389,4.2658076,4.636252,-4.185054,-0.8914719,-0.04373616,0.42930213,-0.9197295,-0.03263916,0.33402166
0.09735474,0.16173144,0.35617334,0.5614888,0.58044004,-0.56789035,0.15912338,-4.6835957,3.1288764,-1.9519582,-1.5473394,2.0737667,-1.2320458,-4.836421,3.116261,-1.669729,-1.7950653,1.9356365,-1.1812054,0.09735474,0.16173144,0.35617334,0.14265524,0.24498647,0.38805535
0.028530903,0.1304894,0.1317586,-0.6734157,0.25204074,-0.52077305,-0.46019796,0.88943887,6.050501,1.480411,4.691215,-1.7222003,1.3668509,0.91228634,6.0845594,1.1790875,4.961076,-1.7007698,1.3759494,0.028530903,0.1304894,0.1317586,-0.018410722,0.04861202,0.09870441
-0.23831253,0.6032938,-0.24818386,-0.23397353,-0.35965678,0.3733199,-0.8225179,5.4238796,2.594375,-1.3515093,4.543798,-1.3993274,4.2903986,5.619007,2.5810144,-1.629255,4.802599,-1.2313013,4.3886156,-0.23831253,0.6032938,-0.24818386,-0.28000796,0.68153626,-0.2944397
